entity_id,state,last_changed
sensor.dishwasher_current_power,65.0,2025-12-30T10:35:26.450Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:36:26.734Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:37:27.019Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:37:57.164Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:38:27.326Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:39:27.643Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:40:27.956Z
sensor.dishwasher_current_power,62.0,2025-12-30T10:41:28.238Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:41:58.375Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:42:28.524Z
sensor.dishwasher_current_power,75.0,2025-12-30T10:43:28.815Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:43:58.989Z
sensor.dishwasher_current_power,62.0,2025-12-30T10:44:29.120Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:44:59.265Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:45:29.412Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:46:02.585Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:46:32.737Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:47:02.904Z
sensor.dishwasher_current_power,64.0,2025-12-30T10:48:03.211Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:48:33.341Z
sensor.dishwasher_current_power,53.0,2025-12-30T10:49:33.659Z
sensor.dishwasher_current_power,22.0,2025-12-30T10:50:03.804Z
sensor.dishwasher_current_power,11.0,2025-12-30T10:50:33.958Z
sensor.dishwasher_current_power,63.0,2025-12-30T10:51:04.113Z
sensor.dishwasher_current_power,88.0,2025-12-30T10:51:34.291Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:52:04.448Z
sensor.dishwasher_current_power,68.0,2025-12-30T10:52:34.605Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:53:04.764Z
sensor.dishwasher_current_power,73.0,2025-12-30T10:53:34.940Z
sensor.dishwasher_current_power,65.0,2025-12-30T10:54:05.101Z
sensor.dishwasher_current_power,79.0,2025-12-30T10:54:35.272Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:55:05.439Z
sensor.dishwasher_current_power,69.0,2025-12-30T10:55:35.587Z
sensor.dishwasher_current_power,66.0,2025-12-30T10:56:05.744Z
sensor.dishwasher_current_power,0.0,2025-12-30T10:57:06.047Z
sensor.dishwasher_current_power,22.0,2025-12-30T10:57:36.205Z
sensor.dishwasher_current_power,10.0,2025-12-30T10:58:06.345Z
sensor.dishwasher_current_power,70.0,2025-12-30T10:58:39.530Z
sensor.dishwasher_current_power,66.0,2025-12-30T10:59:09.836Z
sensor.dishwasher_current_power,70.0,2025-12-30T11:00:10.156Z
sensor.dishwasher_current_power,71.0,2025-12-30T11:00:40.305Z
sensor.dishwasher_current_power,66.0,2025-12-30T11:01:10.475Z
sensor.dishwasher_current_power,70.0,2025-12-30T11:02:10.772Z
sensor.dishwasher_current_power,69.0,2025-12-30T11:02:40.918Z
sensor.dishwasher_current_power,79.0,2025-12-30T11:03:11.080Z
sensor.dishwasher_current_power,64.0,2025-12-30T11:03:41.215Z
sensor.dishwasher_current_power,0.0,2025-12-30T11:04:11.365Z
sensor.dishwasher_current_power,22.0,2025-12-30T11:04:41.507Z
sensor.dishwasher_current_power,10.0,2025-12-30T11:05:48.038Z
sensor.dishwasher_current_power,79.0,2025-12-30T11:06:18.197Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:06:48.374Z
sensor.dishwasher_current_power,1933.0,2025-12-30T11:07:18.540Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:07:48.668Z
sensor.dishwasher_current_power,1945.0,2025-12-30T11:08:18.828Z
sensor.dishwasher_current_power,1944.0,2025-12-30T11:08:48.989Z
sensor.dishwasher_current_power,1933.0,2025-12-30T11:09:19.152Z
sensor.dishwasher_current_power,1962.0,2025-12-30T11:09:49.430Z
sensor.dishwasher_current_power,1955.0,2025-12-30T11:10:19.602Z
sensor.dishwasher_current_power,1951.0,2025-12-30T11:10:49.743Z
sensor.dishwasher_current_power,1943.0,2025-12-30T11:11:19.883Z
sensor.dishwasher_current_power,1961.0,2025-12-30T11:11:50.049Z
sensor.dishwasher_current_power,1952.0,2025-12-30T11:12:20.196Z
sensor.dishwasher_current_power,1937.0,2025-12-30T11:12:50.356Z
sensor.dishwasher_current_power,1948.0,2025-12-30T11:13:20.497Z
sensor.dishwasher_current_power,1945.0,2025-12-30T11:13:50.658Z
sensor.dishwasher_current_power,1949.0,2025-12-30T11:14:20.803Z
sensor.dishwasher_current_power,1941.0,2025-12-30T11:14:50.987Z
sensor.dishwasher_current_power,1937.0,2025-12-30T11:15:21.113Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:15:51.258Z
sensor.dishwasher_current_power,1948.0,2025-12-30T11:16:21.395Z
sensor.dishwasher_current_power,1966.0,2025-12-30T11:17:51.851Z
sensor.dishwasher_current_power,1945.0,2025-12-30T11:19:22.277Z
sensor.dishwasher_current_power,1932.0,2025-12-30T11:19:52.431Z
sensor.dishwasher_current_power,1942.0,2025-12-30T11:20:22.574Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:20:52.754Z
sensor.dishwasher_current_power,1946.0,2025-12-30T11:21:22.895Z
sensor.dishwasher_current_power,1953.0,2025-12-30T11:21:53.047Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:22:23.224Z
sensor.dishwasher_current_power,1945.0,2025-12-30T11:22:53.364Z
sensor.dishwasher_current_power,1951.0,2025-12-30T11:23:23.534Z
sensor.dishwasher_current_power,1940.0,2025-12-30T11:23:53.754Z
sensor.dishwasher_current_power,1932.0,2025-12-30T11:24:23.890Z
sensor.dishwasher_current_power,1948.0,2025-12-30T11:24:54.017Z
sensor.dishwasher_current_power,0.0,2025-12-30T11:25:24.137Z
sensor.dishwasher_current_power,18.0,2025-12-30T11:28:25.018Z
sensor.dishwasher_current_power,23.0,2025-12-30T11:28:55.169Z
sensor.dishwasher_current_power,0.0,2025-12-30T11:29:28.659Z
sensor.dishwasher_current_power,21.0,2025-12-30T11:44:28.002Z
sensor.dishwasher_current_power,58.0,2025-12-30T11:44:58.151Z
sensor.dishwasher_current_power,0.0,2025-12-30T11:45:28.309Z
sensor.dishwasher_current_power,11.0,2025-12-31T19:31:05.524Z
sensor.dishwasher_current_power,0.0,2025-12-31T19:31:35.643Z
sensor.dishwasher_current_power,16.0,2025-12-31T20:43:27.544Z
sensor.dishwasher_current_power,12.0,2025-12-31T20:44:00.748Z
sensor.dishwasher_current_power,78.0,2025-12-31T20:44:33.929Z
sensor.dishwasher_current_power,1993.0,2025-12-31T20:45:04.075Z
sensor.dishwasher_current_power,1995.0,2025-12-31T20:45:34.244Z
sensor.dishwasher_current_power,1999.0,2025-12-31T20:46:04.412Z
sensor.dishwasher_current_power,1993.0,2025-12-31T20:46:34.542Z
sensor.dishwasher_current_power,1991.0,2025-12-31T20:47:04.696Z
sensor.dishwasher_current_power,1989.0,2025-12-31T20:47:34.820Z
sensor.dishwasher_current_power,1993.0,2025-12-31T20:48:04.983Z
sensor.dishwasher_current_power,2005.0,2025-12-31T20:48:35.117Z
sensor.dishwasher_current_power,1993.0,2025-12-31T20:49:05.285Z
sensor.dishwasher_current_power,1998.0,2025-12-31T20:50:08.616Z
sensor.dishwasher_current_power,1995.0,2025-12-31T20:50:38.753Z
sensor.dishwasher_current_power,1983.0,2025-12-31T20:51:08.912Z
sensor.dishwasher_current_power,2001.0,2025-12-31T20:52:09.223Z
sensor.dishwasher_current_power,2002.0,2025-12-31T20:53:09.513Z
sensor.dishwasher_current_power,1973.0,2025-12-31T20:53:39.663Z
sensor.dishwasher_current_power,1977.0,2025-12-31T20:54:09.854Z
sensor.dishwasher_current_power,1972.0,2025-12-31T20:54:39.984Z
sensor.dishwasher_current_power,1982.0,2025-12-31T20:55:10.124Z
sensor.dishwasher_current_power,1973.0,2025-12-31T20:55:40.369Z
sensor.dishwasher_current_power,1976.0,2025-12-31T20:56:13.735Z
sensor.dishwasher_current_power,71.0,2025-12-31T20:56:43.876Z
sensor.dishwasher_current_power,81.0,2025-12-31T20:57:14.023Z
sensor.dishwasher_current_power,62.0,2025-12-31T20:57:44.164Z
sensor.dishwasher_current_power,71.0,2025-12-31T20:58:14.323Z
sensor.dishwasher_current_power,67.0,2025-12-31T20:58:44.483Z
sensor.dishwasher_current_power,66.0,2025-12-31T20:59:14.639Z
sensor.dishwasher_current_power,75.0,2025-12-31T20:59:44.849Z
sensor.dishwasher_current_power,22.0,2025-12-31T21:00:15.002Z
sensor.dishwasher_current_power,16.0,2025-12-31T21:00:45.145Z
sensor.dishwasher_current_power,91.0,2025-12-31T21:01:15.301Z
sensor.dishwasher_current_power,82.0,2025-12-31T21:01:45.444Z
sensor.dishwasher_current_power,1968.0,2025-12-31T21:02:15.603Z
sensor.dishwasher_current_power,1982.0,2025-12-31T21:02:45.739Z
sensor.dishwasher_current_power,1981.0,2025-12-31T21:03:15.878Z
sensor.dishwasher_current_power,1986.0,2025-12-31T21:03:46.025Z
sensor.dishwasher_current_power,1969.0,2025-12-31T21:04:16.180Z
sensor.dishwasher_current_power,1959.0,2025-12-31T21:04:46.355Z
sensor.dishwasher_current_power,1971.0,2025-12-31T21:05:16.559Z
sensor.dishwasher_current_power,1959.0,2025-12-31T21:05:46.738Z
sensor.dishwasher_current_power,1965.0,2025-12-31T21:06:16.856Z
sensor.dishwasher_current_power,1968.0,2025-12-31T21:06:46.987Z
sensor.dishwasher_current_power,1970.0,2025-12-31T21:07:47.284Z
sensor.dishwasher_current_power,66.0,2025-12-31T21:08:17.420Z
sensor.dishwasher_current_power,70.0,2025-12-31T21:09:17.715Z
sensor.dishwasher_current_power,71.0,2025-12-31T21:09:47.875Z
sensor.dishwasher_current_power,66.0,2025-12-31T21:10:18.014Z
sensor.dishwasher_current_power,71.0,2025-12-31T21:11:18.328Z
sensor.dishwasher_current_power,66.0,2025-12-31T21:12:18.626Z
sensor.dishwasher_current_power,70.0,2025-12-31T21:13:18.958Z
sensor.dishwasher_current_power,71.0,2025-12-31T21:13:49.078Z
sensor.dishwasher_current_power,66.0,2025-12-31T21:14:19.268Z
sensor.dishwasher_current_power,70.0,2025-12-31T21:15:19.558Z
sensor.dishwasher_current_power,74.0,2025-12-31T21:16:19.841Z
sensor.dishwasher_current_power,66.0,2025-12-31T21:16:49.980Z
